36021,蘆洲總站,未發車
36022,王爺廟口,未發車
36023,空中大學(中正路),未發車
36024,中原公寓,未發車
36025,蘆洲國小,未發車
36026,蘆洲監理站,未發車
36027,蘆洲派出所,未發車<br><img border="0" src="bus1.gif"><font style="color:darkblue;">KKA-1072</font>
36028,溪墘,將到站
36029,捷運徐匯中學站,將到站
36030,徐匯中學,4分
36031,幸福市場,4分
36032,建和新村,5分
129828,捷運三和國中站,6分
36033,三和國中,7分
36034,格致中學(三和路),7分
36036,厚德派出所,8分
36038,德林寺(三和路),9分
36039,龍門路口,12分
36040,三安里,13分
36041,長壽西街口,13分<br><img border="0" src="bus1.gif"><font style="color:darkblue;">665-U5</font>
36042,長元西街口,將到站
36043,正義重新路口,將到站
36044,天台廣場,將到站
36045,大同路口,3分
36046,中山藝術公園,4分
218023,捷運菜寮站,5分
36047,過圳街,6分
36048,三重區公所(過圳街),7分
36049,三重稅捐分處,10分
36050,菜寮(重陽路),11分
36051,集美國小,14分
36052,三重國民運動中心,15分
36053,三重中學,16分
36054,重安街口,<img border="0" src="bus1.gif"><font style="color:darkblue;">928-U3</font><br>進站中
36055,臺北車站(忠孝),<img border="0" src="bus1.gif"><font style="color:darkblue;">186-U7</font><br>進站中
36056,捷運善導寺站,將到站
36057,華山文創園區,3分
36058,忠孝國小,4分<br><img border="0" src="bus1.gif"><font style="color:darkblue;">679-U5</font>
36059,臺北科技大學(忠孝),將到站
36060,正義郵局,3分
36061,懷生國中,3分
36063,頂好市場,6分
36064,捷運忠孝敦化站,8分
36065,阿波羅大廈,9分
36066,交通部觀光署,11分
36067,捷運國父紀念館站(忠孝),12分
36068,聯合報,13分
36069,捷運市政府站,14分
36070,市立工農,18分
36071,捷運永春站(忠孝),19分
36072,捷運永春站(松山),20分
36073,雙永國小,21分
36074,永吉松山路口,21分
36075,松山車站(松山),<img border="0" src="bus1.gif"><font style="color:darkblue;">648-U5</font><br>進站中
